anonymous_id,which_experiment,multiple_tries
sub092,experiment_1,0
sub093,experiment_1,0
sub094,experiment_1,0
sub095,experiment_1,0
sub096,experiment_1,0
sub097,experiment_1,0
sub098,experiment_1,0
sub099,experiment_1,0
sub100,experiment_1,0
sub101,experiment_1,0
sub102,experiment_1,0
sub103,experiment_1,0
sub104,experiment_1,0
sub105,experiment_1,0
sub106,experiment_1,0
sub107,experiment_1,0
sub108,experiment_1,0
sub109,experiment_1,0
sub110,experiment_1,0
sub111,experiment_1,0
sub112,experiment_1,0
sub113,experiment_1,0
sub114,experiment_1,0
sub115,experiment_1,0
sub116,experiment_1,0
sub117,experiment_1,0
sub118,experiment_1,0
sub119,experiment_1,0
sub120,experiment_1,0
sub121,experiment_1,0
sub122,experiment_1,0
sub123,experiment_1,0
sub124,experiment_1,0
sub125,experiment_1,0
sub126,experiment_1,1
sub127,experiment_1,1
sub128,experiment_1,0
sub129,experiment_1,0
sub130,experiment_1,1
sub131,experiment_1,1
sub132,experiment_1,0
sub133,experiment_1,1
sub134,experiment_1,1
sub135,experiment_1,0
sub136,experiment_1,1
sub137,experiment_1,0
sub138,experiment_1,0
sub139,experiment_1,1
sub140,experiment_1,0
sub141,experiment_1,0
sub142,experiment_1,0
sub143,experiment_1,0
sub144,experiment_1,0
sub145,experiment_1,0
sub146,experiment_1,0
sub147,experiment_1,0
sub148,experiment_1,0
sub149,experiment_1,0
sub150,experiment_1,1
sub151,experiment_1,0
sub152,experiment_1,0
sub153,experiment_1,0
sub154,experiment_1,0
sub155,experiment_1,0
sub156,experiment_1,1
sub157,experiment_1,0
sub158,experiment_1,0
sub159,experiment_1,0
sub160,experiment_1,0
sub161,experiment_1,0
sub162,experiment_1,0
sub163,experiment_1,0
sub164,experiment_1,0
sub165,experiment_1,0
sub166,experiment_1,0
sub167,experiment_1,0
sub168,experiment_1,0
sub169,experiment_1,0
sub170,experiment_1,0
sub171,experiment_1,0
sub172,experiment_1,0
sub173,experiment_1,0
sub174,experiment_1,0
sub175,experiment_1,0
sub176,experiment_1,0
sub177,experiment_1,0
sub178,experiment_1,0
sub179,experiment_1,0
sub180,experiment_1,0
sub181,experiment_1,0
sub182,experiment_1,0
sub183,experiment_1,0
sub184,experiment_1,0
sub185,experiment_1,0
sub186,experiment_1,0
sub187,experiment_1,0
sub188,experiment_1,0
sub189,experiment_1,0
sub190,experiment_1,0
sub191,experiment_1,0
sub192,experiment_1,0
sub193,experiment_1,0
sub194,experiment_1,0
sub195,experiment_1,0
sub196,experiment_1,0
sub197,experiment_1,0
sub198,experiment_1,0
sub199,experiment_1,0
sub200,experiment_1,0
sub201,experiment_1,0
sub202,experiment_1,0
sub203,experiment_1,0
sub204,experiment_1,0
sub205,experiment_1,0
sub206,experiment_1,0
sub207,experiment_1,0
sub208,experiment_1,0
sub209,experiment_1,0
sub210,experiment_1,0
sub211,experiment_1,0
sub212,experiment_1,0
sub213,experiment_1,0
sub214,experiment_1,0
sub215,experiment_1,0
sub216,experiment_1,1
sub217,experiment_1,1
sub218,experiment_1,1
sub219,experiment_1,1
sub220,experiment_1,0
sub221,experiment_1,0
sub222,experiment_1,1
sub223,experiment_1,0
sub224,experiment_1,1
sub225,experiment_1,0
sub226,experiment_1,1
sub227,experiment_1,0
sub228,experiment_1,0
sub229,experiment_1,0
sub230,experiment_1,0
sub231,experiment_1,0
sub232,experiment_1,0
sub233,experiment_1,0
sub234,experiment_1,0
sub235,experiment_1,0
sub236,experiment_1,0
sub237,experiment_1,0
sub238,experiment_1,0
sub239,experiment_1,0
sub240,experiment_1,0
sub241,experiment_1,0
sub242,experiment_1,0
sub243,experiment_1,0
sub244,experiment_1,0
sub245,experiment_1,0
sub246,experiment_1,0
sub247,experiment_1,0
sub248,experiment_1,0
sub249,experiment_1,0
sub250,experiment_1,0
sub251,experiment_1,0
sub252,experiment_1,0
sub253,experiment_1,1
sub254,experiment_1,1
sub255,experiment_1,1
sub256,experiment_1,1
sub257,experiment_1,0
sub258,experiment_1,0
sub259,experiment_1,1
sub260,experiment_1,0
sub261,experiment_1,1
sub262,experiment_1,0
sub263,experiment_1,0
sub264,experiment_1,0
sub265,experiment_1,1
sub266,experiment_1,1
sub267,experiment_1,1
sub268,experiment_1,0
sub269,experiment_1,0
sub270,experiment_1,0
sub271,experiment_1,1
sub272,experiment_1,1
