prolific_status,anonymous_id,which_experiment,multiple_tries
APPROVED,sub228,experiment_1,0
APPROVED,sub076,experiment_1,0
APPROVED,sub188,experiment_1,0
APPROVED,sub112,experiment_1,0
RETURNED,sub257,experiment_1,0
APPROVED,sub241,experiment_1,0
APPROVED,sub227,experiment_1,0
APPROVED,sub078,experiment_1,0
RETURNED,sub267,experiment_1,1
RETURNED,sub265,experiment_1,1
APPROVED,sub201,experiment_1,0
APPROVED,sub117,experiment_1,0
RETURNED,sub216,experiment_1,1
RETURNED,sub219,experiment_1,1
APPROVED,sub174,experiment_1,0
RETURNED,sub255,experiment_1,1
RETURNED,sub259,experiment_1,1
APPROVED,sub231,experiment_1,0
RETURNED,sub210,experiment_1,0
APPROVED,sub223,experiment_1,0
APPROVED,sub146,experiment_1,0
APPROVED,sub197,experiment_1,0
APPROVED,sub178,experiment_1,0
APPROVED,sub203,experiment_1,0
APPROVED,sub130,experiment_1,1
APPROVED,sub131,experiment_1,1
APPROVED,sub098,experiment_1,0
APPROVED,sub191,experiment_1,0
APPROVED,sub111,experiment_1,0
TIMED-OUT,sub226,experiment_1,1
TIMED-OUT,sub222,experiment_1,1
APPROVED,sub155,experiment_1,0
RETURNED,sub249,experiment_1,0
APPROVED,sub091,experiment_1,0
APPROVED,sub115,experiment_1,0
APPROVED,sub095,experiment_1,0
APPROVED,sub129,experiment_1,0
APPROVED,sub242,experiment_1,0
APPROVED,sub180,experiment_1,0
RETURNED,sub264,experiment_1,0
APPROVED,sub186,experiment_1,0
RETURNED,sub248,experiment_1,0
REJECTED,sub154,experiment_1,0
APPROVED,sub157,experiment_1,0
APPROVED,sub213,experiment_1,0
APPROVED,sub183,experiment_1,0
APPROVED,sub176,experiment_1,0
APPROVED,sub106,experiment_1,0
APPROVED,sub162,experiment_1,0
APPROVED,sub121,experiment_1,0
RETURNED,sub244,experiment_1,0
APPROVED,sub101,experiment_1,0
APPROVED,sub173,experiment_1,0
RETURNED,sub262,experiment_1,0
APPROVED,sub136,experiment_1,1
APPROVED,sub081,experiment_1,1
APPROVED,sub168,experiment_1,0
APPROVED,sub177,experiment_1,0
RETURNED,sub202,experiment_1,0
APPROVED,sub190,experiment_1,0
APPROVED,sub239,experiment_1,0
APPROVED,sub166,experiment_1,0
APPROVED,sub144,experiment_1,0
APPROVED,sub077,experiment_1,0
APPROVED,sub208,experiment_1,0
APPROVED,sub104,experiment_1,0
APPROVED,sub153,experiment_1,0
APPROVED,sub169,experiment_1,0
APPROVED,sub108,experiment_1,0
APPROVED,sub113,experiment_1,0
RETURNED,sub145,experiment_1,0
RETURNED,sub090,experiment_1,0
APPROVED,sub080,experiment_1,0
APPROVED,sub086,experiment_1,0
APPROVED,sub165,experiment_1,0
RETURNED,sub263,experiment_1,0
APPROVED,sub142,experiment_1,0
APPROVED,sub109,experiment_1,0
APPROVED,sub163,experiment_1,0
APPROVED,sub182,experiment_1,0
RETURNED,sub158,experiment_1,0
APPROVED,sub141,experiment_1,0
APPROVED,sub214,experiment_1,0
APPROVED,sub093,experiment_1,0
RETURNED,sub269,experiment_1,0
APPROVED,sub119,experiment_1,0
APPROVED,sub126,experiment_1,1
APPROVED,sub127,experiment_1,1
APPROVED,sub100,experiment_1,0
APPROVED,sub230,experiment_1,0
APPROVED,sub189,experiment_1,0
APPROVED,sub235,experiment_1,0
RETURNED,sub236,experiment_1,0
APPROVED,sub152,experiment_1,0
APPROVED,sub198,experiment_1,0
APPROVED,sub082,experiment_1,0
APPROVED,sub134,experiment_1,1
APPROVED,sub133,experiment_1,1
RETURNED,sub258,experiment_1,0
RETURNED,sub253,experiment_1,1
RETURNED,sub261,experiment_1,1
APPROVED,sub138,experiment_1,0
RETURNED,sub172,experiment_1,0
RETURNED,sub125,experiment_1,0
APPROVED,sub123,experiment_1,0
RETURNED,sub260,experiment_1,0
APPROVED,sub199,experiment_1,0
APPROVED,sub143,experiment_1,0
APPROVED,sub074,experiment_1,0
APPROVED,sub096,experiment_1,0
APPROVED,sub120,experiment_1,0
APPROVED,sub114,experiment_1,0
APPROVED,sub149,experiment_1,0
RETURNED,sub181,experiment_1,0
APPROVED,sub207,experiment_1,0
APPROVED,sub243,experiment_1,0
APPROVED,sub160,experiment_1,0
APPROVED,sub137,experiment_1,0
APPROVED,sub171,experiment_1,0
RETURNED,sub251,experiment_1,0
APPROVED,sub238,experiment_1,0
RETURNED,sub102,experiment_1,0
APPROVED,sub175,experiment_1,0
APPROVED,sub105,experiment_1,0
APPROVED,sub099,experiment_1,0
APPROVED,sub224,experiment_1,1
APPROVED,sub218,experiment_1,1
APPROVED,sub075,experiment_1,0
APPROVED,sub204,experiment_1,0
APPROVED,sub151,experiment_1,0
APPROVED,sub209,experiment_1,0
RETURNED,sub200,experiment_1,0
APPROVED,sub212,experiment_1,0
APPROVED,sub147,experiment_1,0
APPROVED,sub211,experiment_1,0
RETURNED,sub254,experiment_1,1
RETURNED,sub266,experiment_1,1
RETURNED,sub256,experiment_1,1
RETURNED,sub270,experiment_1,0
APPROVED,sub184,experiment_1,0
RETURNED,sub094,experiment_1,0
APPROVED,sub092,experiment_1,0
APPROVED,sub271,experiment_1,1
APPROVED,sub272,experiment_1,1
APPROVED,sub103,experiment_1,0
APPROVED,sub237,experiment_1,0
APPROVED,sub233,experiment_1,0
RETURNED,sub247,experiment_1,0
RETURNED,sub268,experiment_1,0
RETURNED,sub185,experiment_1,0
APPROVED,sub167,experiment_1,0
APPROVED,sub194,experiment_1,0
RETURNED,sub089,experiment_1,0
APPROVED,sub234,experiment_1,0
RETURNED,sub124,experiment_1,0
APPROVED,sub110,experiment_1,0
APPROVED,sub250,experiment_1,0
RETURNED,sub232,experiment_1,0
APPROVED,sub097,experiment_1,0
APPROVED,sub083,experiment_1,0
APPROVED,sub088,experiment_1,0
APPROVED,sub122,experiment_1,0
APPROVED,sub206,experiment_1,0
RETURNED,sub170,experiment_1,0
RETURNED,sub087,experiment_1,0
APPROVED,sub205,experiment_1,0
RETURNED,sub245,experiment_1,0
APPROVED,sub220,experiment_1,0
APPROVED,sub135,experiment_1,0
APPROVED,sub193,experiment_1,0
RETURNED,sub215,experiment_1,0
APPROVED,sub164,experiment_1,0
APPROVED,sub240,experiment_1,0
APPROVED,sub221,experiment_1,0
RETURNED,sub252,experiment_1,0
APPROVED,sub196,experiment_1,0
APPROVED,sub148,experiment_1,0
APPROVED,sub128,experiment_1,0
APPROVED,sub161,experiment_1,0
APPROVED,sub179,experiment_1,0
APPROVED,sub085,experiment_1,0
RETURNED,sub140,experiment_1,0
APPROVED,sub225,experiment_1,0
APPROVED,sub229,experiment_1,0
APPROVED,sub187,experiment_1,0
APPROVED,sub079,experiment_1,0
APPROVED,sub116,experiment_1,0
REJECTED,sub195,experiment_1,0
APPROVED,sub246,experiment_1,0
APPROVED,sub192,experiment_1,0
APPROVED,sub159,experiment_1,0
APPROVED,sub084,experiment_1,0
