which_experiment,counterbalancing,prolific_id,page_index,viewing_time
pilot_1,dense_right,sub017,1,41367.19999998808
pilot_1,dense_right,sub017,2,5704.100000023842
pilot_1,dense_left,sub018,0,26256.800000000745
pilot_1,dense_left,sub018,1,37591.79999999702
pilot_1,dense_left,sub018,2,12472.0
pilot_2,dense_left,sub019,0,10016.5
pilot_2,dense_left,sub019,1,75862.90000000596
pilot_2,dense_left,sub019,2,39604.0
pilot_2,dense_left,sub020,0,2793.5
pilot_2,dense_left,sub020,1,41831.700000047684
pilot_2,dense_left,sub020,2,6768.199999988079
pilot_2,dense_left,sub021,0,5939.4000000059605
pilot_2,dense_left,sub021,1,15868.0
pilot_2,dense_left,sub021,2,2655.9000000059605
pilot_2,dense_left,sub022,0,2068.6000000089407
pilot_2,dense_left,sub022,1,30882.5
pilot_2,dense_left,sub022,2,9860.20000000298
pilot_2,dense_right,sub023,0,4266.30000000447
pilot_2,dense_right,sub023,1,37068.09999999404
pilot_2,dense_right,sub023,2,12544.10000000149
pilot_2,dense_left,sub024,0,15393.700000047684
pilot_2,dense_left,sub024,1,77088.29999995232
pilot_2,dense_left,sub024,2,33387.5
pilot_2,dense_right,sub026,0,3081.7999999999884
pilot_2,dense_right,sub026,1,38959.5
pilot_2,dense_right,sub026,2,9823.799999999988
pilot_2,dense_right,sub029,0,9879.19999999972
pilot_2,dense_right,sub029,1,47981.700000000186
pilot_2,dense_right,sub029,2,23762.100000000093
pilot_2,dense_left,sub030,0,3588.4000000059605
pilot_2,dense_left,sub030,1,35711.70000000298
pilot_2,dense_left,sub030,2,3871.8999999910593
pilot_2,dense_left,sub031,0,3971.7000000476837
pilot_2,dense_left,sub031,1,46106.19999998808
pilot_2,dense_left,sub031,2,22450.30000001192
pilot_2,dense_right,sub032,0,6570.0
pilot_2,dense_right,sub032,1,65623.0
pilot_2,dense_right,sub032,2,12552.0
pilot_2,dense_right,sub033,0,2244.800000011921
pilot_2,dense_right,sub033,1,28421.90000000596
pilot_2,dense_right,sub033,2,5490.299999982119
pilot_2,dense_left,sub034,0,3679.0
pilot_2,dense_left,sub034,1,53880.19999998808
pilot_2,dense_left,sub034,2,10409.099999964237
pilot_2,dense_right,sub037,0,2487.7000000029802
pilot_2,dense_right,sub037,1,34229.70000000298
pilot_2,dense_right,sub037,2,11196.0
pilot_3,dense_right,sub039,0,14019.5
pilot_3,dense_right,sub039,1,57221.5
pilot_3,dense_right,sub039,2,6405.800000011921
pilot_3,dense_left,sub040,0,6892.5999999996275
pilot_3,dense_left,sub040,1,43576.0
pilot_3,dense_left,sub040,2,32268.300000000745
pilot_3,dense_right,sub043,0,2521.2000000476837
pilot_3,dense_right,sub043,1,97520.70000004768
pilot_3,dense_right,sub043,2,1839.5999999046326
pilot_3,dense_left,sub044,0,4800.700000000186
pilot_3,dense_left,sub044,1,70158.70000000019
pilot_3,dense_left,sub044,2,11567.899999999441
pilot_3,dense_right,sub045,0,29654.79999999702
pilot_3,dense_right,sub045,1,35751.60000000894
pilot_3,dense_right,sub045,2,7419.899999991059
pilot_3,dense_right,sub046,0,10767.5
pilot_3,dense_right,sub046,1,72018.19999998808
pilot_3,dense_right,sub046,2,7605.600000023842
pilot_3,dense_left,sub047,0,102666.19999998808
pilot_3,dense_left,sub047,1,55325.80000001192
pilot_3,dense_left,sub047,2,2754.5
pilot_3,dense_left,sub048,0,3812.2000000029802
pilot_3,dense_left,sub048,1,37706.09999999404
pilot_3,dense_left,sub048,2,14736.5
pilot_3,dense_right,sub049,0,3086.399999856949
pilot_3,dense_right,sub049,1,42514.40000009537
pilot_3,dense_right,sub049,2,14524.5
pilot_3,dense_left,sub050,0,4818.0
pilot_3,dense_left,sub050,1,41875.40000009537
pilot_3,dense_left,sub050,2,32492.699999928474
