prolific_id,page_index,viewing_time
sub_124,0,3669.2000000029802
sub_124,1,41937.29999999702
sub_124,2,6909.0999999940395
sub_124,1,4214.5
sub_124,2,1641.5
sub_124,1,4215.20000000298
sub_124,2,26287.0
sub_13,0,8274.399999856949
sub_13,1,32705.0
sub_13,2,10471.700000047684
sub_14,0,6700.0
sub_14,1,116913.69999998808
sub_14,2,15103.5
sub_15,0,3803.699999988079
sub_15,1,142479.0
sub_15,2,11537.5
sub_16,0,3049.7000000029802
sub_16,1,234695.20000000298
sub_16,2,2272.39999999851
sub_17,0,2487.7000000029802
sub_17,1,34229.70000000298
sub_17,2,11196.0
sub_18,0,2068.6000000089407
sub_18,1,30882.5
sub_18,2,9860.20000000298
sub_19,0,4266.30000000447
sub_19,1,37068.09999999404
sub_19,2,12544.10000000149
sub_20,0,15393.700000047684
sub_20,1,77088.29999995232
sub_20,2,33387.5
sub_21,0,3081.7999999999884
sub_21,1,38959.5
sub_21,2,9823.799999999988
sub_22,0,9879.19999999972
sub_22,1,47981.700000000186
sub_22,2,23762.100000000093
sub_23,0,3588.4000000059605
sub_23,1,35711.70000000298
sub_23,2,3871.8999999910593
sub_24,0,3971.7000000476837
sub_24,1,46106.19999998808
sub_24,2,22450.30000001192
sub_25,0,6570.0
sub_25,1,65623.0
sub_25,2,12552.0
sub_26,0,2244.800000011921
sub_26,1,28421.90000000596
sub_26,2,5490.299999982119
sub_27,0,3679.0
sub_27,1,53880.19999998808
sub_27,2,10409.099999964237
sub_28,0,10016.5
sub_28,1,75862.90000000596
sub_28,2,39604.0
sub_29,0,2793.5
sub_29,1,41831.700000047684
sub_29,2,6768.199999988079
sub_30,0,5939.4000000059605
sub_30,1,15868.0
sub_30,2,2655.9000000059605
sub_31,0,3988.0
sub_31,1,120242.79999999702
sub_31,2,4135.5
sub_32,0,2269.0999999046326
sub_32,1,21050.200000047684
sub_32,2,3930.7000000476837
sub_33,0,1508.0
sub_33,1,47687.0
sub_33,2,2073.0
sub_34,0,4075.199999988079
sub_34,1,47356.5
sub_34,2,11855.800000011921
sub_35,0,4242.5
sub_35,1,33530.69999998808
sub_35,2,13464.899999976158
sub_36,0,1513.6000000014901
sub_36,1,97234.5
